stimuli1,stimuli2,L1 RMSE,L23 RMSE,L4 RMSE,L5 RMSE,L6 RMSE
horizontal,vertical,23.13806387751577,150.678908057277,96.67176423340996,96.0981721764373,151.120615655808
horizontal,diagonal-l2r,21.8945198622852,130.67155369496,92.6276416627348,93.956443029806,143.854299636158
horizontal,diagonal-r2l,21.364690496237,109.220114142649,93.9724427691438,88.2473540998141,142.649794445774
vertical,diagonal-l2r,23.1611744089111,143.870553845241,103.659104761714,101.239062747968,158.681096782794
vertical,diagonal-r2l,25.469393396781165,165.827018305221,104.40402291099709,113.904625613992,167.268847876344
diagonal-l2r,diagonal-r2l,23.2482257387526,124.34516114881,93.8688446717014,103.077907162762,148.267789318508
